attn_impl,benchmark,resolution,max_new_tokens,sample_id,visual_encoder_ms,window_attn_ms,full_attn_ms,llm_prefill_ms,decode_loop_ms,ttft_ms,tpot_ms,e2e_ms,f_vision,actual_generated_tokens
fa2,docvqa,1792,64,docvqa_24505,166.433,112.468,34.86,232.534,533.386,235.894,33.337,769.28,0.216349,17.0
fa2,docvqa,1792,64,docvqa_410,155.467,111.247,34.809,221.624,764.408,223.997,29.4,988.405,0.157291,27.0
fa2,docvqa,1792,64,docvqa_49565,156.044,112.474,34.716,222.216,385.322,224.748,32.11,610.07,0.255781,13.0
fa2,docvqa,1792,64,docvqa_16801,165.039,117.78,34.792,231.009,257.945,233.616,28.661,491.56,0.335745,10.0
fa2,docvqa,1792,64,docvqa_49569,157.034,112.471,34.819,229.861,394.922,233.309,30.379,628.231,0.249962,14.0
fa2,docvqa,1792,64,docvqa_57765,155.753,112.114,34.804,221.907,578.965,224.246,30.472,803.21,0.193913,20.0
fa2,docvqa,1792,64,docvqa_57766,156.411,111.488,34.84,225.265,488.798,227.846,30.55,716.644,0.218255,17.0
fa2,docvqa,1792,64,docvqa_57767,155.705,111.451,34.863,222.499,419.229,224.754,32.248,643.983,0.241784,14.0
fa2,docvqa,1792,64,docvqa_58700,156.587,111.234,34.779,222.755,648.686,225.046,30.89,873.732,0.179216,22.0
fa2,docvqa,1792,64,docvqa_49574,156.97,111.739,34.843,224.676,545.345,227.291,28.702,772.636,0.203162,20.0
fa2,docvqa,1792,64,docvqa_57770,156.869,111.554,34.791,223.093,442.373,225.519,31.598,667.891,0.234872,15.0
fa2,docvqa,1792,64,docvqa_57771,167.93,113.765,34.86,234.871,1913.358,238.117,32.43,2151.475,0.078053,60.0
fa2,docvqa,1792,64,docvqa_49579,176.288,114.104,34.799,242.578,433.607,253.172,28.907,686.779,0.256689,16.0
fa2,docvqa,1792,64,docvqa_49577,160.881,115.299,34.828,227.223,318.299,229.388,28.936,547.686,0.293747,12.0
fa2,docvqa,1792,64,docvqa_49583,157.181,113.263,34.829,223.714,535.107,226.087,28.164,761.193,0.206493,20.0
fa2,docvqa,1792,64,docvqa_431,156.479,111.633,34.833,226.461,784.112,228.641,29.041,1012.753,0.154509,28.0
fa2,docvqa,1792,64,docvqa_58702,169.667,112.439,34.8,236.104,536.699,242.224,29.817,778.923,0.217822,19.0
fa2,docvqa,1792,64,docvqa_49586,155.292,111.381,34.819,221.587,1976.258,224.28,31.369,2200.538,0.07057,64.0
fa2,docvqa,1792,64,docvqa_432,158.728,111.564,34.805,225.141,617.387,227.745,32.494,845.132,0.187815,20.0
fa2,docvqa,1792,64,docvqa_57780,155.358,111.753,34.814,227.05,500.906,229.28,31.307,730.187,0.212765,17.0
fa2,docvqa,1792,64,docvqa_57781,157.262,113.018,34.801,229.962,358.913,232.193,25.637,591.106,0.266047,15.0
fa2,docvqa,1792,64,docvqa_57782,154.608,111.2,34.786,220.663,1843.764,222.815,29.266,2066.579,0.074814,64.0
fa2,docvqa,1792,64,docvqa_57783,157.087,111.577,34.845,223.734,536.317,226.594,31.548,762.911,0.205905,18.0
fa2,docvqa,1792,64,docvqa_57784,159.434,113.629,34.862,225.641,1526.447,228.142,33.184,1754.589,0.090867,47.0
fa2,docvqa,1792,64,docvqa_433,157.438,111.451,34.699,223.765,662.763,226.382,33.138,889.145,0.177066,21.0
fa2,docvqa,1792,64,docvqa_16826,155.188,111.165,34.687,221.33,1829.474,223.604,30.491,2053.078,0.075588,61.0
fa2,docvqa,1792,64,docvqa_57786,157.719,111.271,34.694,224.098,671.16,227.001,33.558,898.161,0.175602,21.0
fa2,docvqa,1792,64,docvqa_49595,155.208,111.834,34.632,221.569,702.579,223.989,28.103,926.568,0.167508,26.0
fa2,docvqa,1792,64,docvqa_444,154.342,111.18,34.675,220.497,519.052,222.748,30.532,741.8,0.208064,18.0
fa2,docvqa,1792,64,docvqa_16830,158.302,111.414,34.655,226.081,579.697,228.537,26.35,808.234,0.195861,23.0
fa2,docvqa,1792,64,docvqa_16831,173.035,115.207,34.856,239.686,710.33,243.17,32.288,953.5,0.181474,23.0
fa2,docvqa,1792,64,docvqa_16832,158.445,111.692,34.865,224.814,461.174,227.225,30.745,688.399,0.230164,16.0
fa2,docvqa,1792,64,docvqa_57790,157.498,111.306,34.821,223.463,209.371,225.971,26.171,435.342,0.361781,9.0
fa2,docvqa,1792,64,docvqa_57791,155.99,112.151,34.776,228.297,751.834,230.555,28.917,982.389,0.158786,27.0
fa2,docvqa,1792,64,docvqa_16835,179.239,115.572,34.826,245.713,493.96,248.281,25.998,742.241,0.241484,20.0
fa2,docvqa,1792,64,docvqa_450,158.275,111.7,34.831,233.006,435.468,235.726,31.105,671.195,0.235811,15.0
fa2,docvqa,1792,64,docvqa_16837,156.543,112.3,34.924,222.727,503.326,225.21,31.458,728.536,0.214873,17.0
fa2,docvqa,1792,64,docvqa_57798,167.085,115.004,34.786,233.374,780.156,236.491,28.895,1016.646,0.16435,28.0
fa2,docvqa,1792,64,docvqa_16839,156.171,112.404,34.833,222.943,589.031,225.483,32.724,814.514,0.191735,19.0
fa2,docvqa,1792,64,docvqa_57799,172.416,120.564,38.788,240.31,544.326,242.958,27.216,787.284,0.219001,21.0
fa2,docvqa,1792,64,docvqa_57800,156.41,111.34,35.14,228.585,1045.056,230.9,33.711,1275.956,0.122583,32.0
fa2,docvqa,1792,64,docvqa_57801,172.189,114.863,34.83,238.596,624.267,241.029,32.856,865.296,0.198994,20.0
fa2,docvqa,1792,64,docvqa_57803,172.642,114.479,34.718,238.689,454.426,242.058,28.402,696.484,0.247877,17.0
fa2,docvqa,1792,64,docvqa_57804,168.162,122.546,34.834,235.469,281.71,237.985,31.301,519.695,0.323579,10.0
fa2,docvqa,1792,64,docvqa_57805,158.754,114.191,34.84,225.028,1394.172,227.397,31.686,1621.569,0.097901,45.0
fa2,docvqa,1792,64,docvqa_49605,158.913,114.393,34.827,225.232,650.35,227.967,32.517,878.317,0.180929,21.0
fa2,docvqa,1792,64,docvqa_57807,155.336,111.613,34.851,223.825,518.175,226.348,37.013,744.524,0.208638,15.0
fa2,docvqa,1792,64,docvqa_57808,157.633,111.184,34.794,223.839,478.082,226.432,29.88,704.514,0.223747,17.0
fa2,docvqa,1792,64,docvqa_49617,157.442,111.997,34.81,226.068,779.486,228.787,31.179,1008.273,0.156151,26.0
fa2,docvqa,1792,64,docvqa_57810,186.647,136.536,36.798,252.711,670.286,254.998,30.468,925.285,0.201719,23.0
fa2,docvqa,1792,64,docvqa_41421,155.73,111.45,34.833,221.93,437.587,224.221,27.349,661.808,0.23531,17.0
fa2,docvqa,1792,64,docvqa_461,158.265,111.773,34.82,225.262,2011.07,227.937,31.922,2239.007,0.070685,64.0
fa2,docvqa,1792,64,docvqa_463,158.832,112.034,34.835,229.257,1866.623,231.898,29.629,2098.521,0.075688,64.0
fa2,docvqa,1792,64,docvqa_4977,158.108,111.265,34.812,224.418,306.632,226.76,27.876,533.393,0.29642,12.0
fa2,docvqa,1792,64,docvqa_57815,165.395,111.865,34.845,231.813,479.747,233.998,28.22,713.745,0.231728,18.0
fa2,docvqa,1792,64,docvqa_4978,156.707,112.095,34.962,222.969,509.566,225.151,31.848,734.717,0.213289,17.0
fa2,docvqa,1792,64,docvqa_57817,156.647,111.333,34.826,224.964,839.91,227.367,27.997,1067.277,0.146773,31.0
fa2,docvqa,1792,64,docvqa_41434,169.591,116.621,34.901,235.984,412.643,239.488,31.742,652.132,0.260056,14.0
fa2,docvqa,1792,64,docvqa_57819,160.176,113.875,34.852,227.654,726.914,230.36,33.042,957.274,0.167325,23.0
fa2,docvqa,1792,64,docvqa_57820,156.819,111.214,34.712,223.226,437.778,225.703,33.675,663.481,0.236358,14.0
fa2,docvqa,1792,64,docvqa_57821,154.975,111.618,34.84,221.274,473.089,223.597,36.391,696.686,0.222446,14.0
fa2,docvqa,1792,64,docvqa_57822,155.257,111.403,34.809,221.607,702.103,223.949,31.914,926.052,0.167654,23.0
fa2,docvqa,1792,64,docvqa_57823,155.828,111.496,34.824,222.114,528.029,224.842,33.002,752.871,0.206978,17.0
fa2,docvqa,1792,64,docvqa_49629,157.906,111.562,34.852,224.712,482.894,227.195,32.193,710.089,0.222375,16.0
fa2,docvqa,1792,64,docvqa_57825,156.008,111.799,34.839,222.472,522.273,224.962,32.642,747.235,0.20878,17.0
fa2,docvqa,1792,64,docvqa_57826,159.269,112.371,34.833,228.092,488.179,230.923,32.545,719.102,0.221483,16.0
fa2,docvqa,1792,64,docvqa_57827,158.144,111.253,34.788,224.484,654.628,227.002,32.731,881.63,0.179377,21.0
fa2,docvqa,1792,64,docvqa_476,156.568,111.495,34.816,222.622,1865.621,225.156,32.166,2090.777,0.074885,59.0
fa2,docvqa,1792,64,docvqa_4980,178.264,127.093,34.872,246.259,725.184,249.717,26.859,974.901,0.182853,28.0
fa2,docvqa,1792,64,docvqa_57833,156.303,112.167,34.781,222.571,267.921,224.852,33.49,492.772,0.317192,9.0
fa2,docvqa,1792,64,docvqa_41449,158.897,114.495,34.837,226.543,422.58,228.975,26.411,651.555,0.243874,17.0
fa2,docvqa,1792,64,docvqa_57835,166.818,111.392,34.819,233.522,525.93,236.766,32.871,762.696,0.218722,17.0
fa2,docvqa,1792,64,docvqa_57836,156.798,113.184,34.852,224.056,387.592,226.493,35.236,614.085,0.255336,12.0
fa2,docvqa,1792,64,docvqa_57837,156.401,111.292,34.792,224.224,368.58,227.213,33.507,595.793,0.262508,12.0
fa2,docvqa,1792,64,docvqa_57838,158.826,111.406,34.818,225.336,314.807,228.013,34.979,542.82,0.292594,10.0
fa2,docvqa,1792,64,docvqa_49643,157.991,111.637,34.833,224.264,692.12,226.797,30.092,918.917,0.171932,24.0
fa2,docvqa,1792,64,docvqa_57841,157.062,112.547,34.943,223.639,335.158,226.34,37.24,561.499,0.279718,10.0
fa2,docvqa,1792,64,docvqa_57843,156.795,111.186,34.77,222.857,318.969,225.173,35.441,544.142,0.28815,10.0
fa2,docvqa,1792,64,docvqa_57844,158.595,111.347,34.823,225.06,753.408,227.257,30.136,980.665,0.161722,26.0
fa2,docvqa,1792,64,docvqa_57845,159.896,113.237,34.855,227.457,546.446,229.991,30.358,776.438,0.205935,19.0
fa2,docvqa,1792,64,docvqa_57853,171.999,117.196,34.85,238.051,419.405,243.134,26.213,662.539,0.259606,17.0
fa2,docvqa,1792,64,docvqa_57854,172.739,116.731,34.838,239.009,547.575,242.911,26.075,790.486,0.218523,22.0
fa2,docvqa,1792,64,docvqa_57855,177.223,120.486,34.921,243.341,513.444,246.352,27.023,759.796,0.233251,20.0
fa2,docvqa,1792,64,docvqa_57857,157.257,112.541,34.812,224.254,896.788,226.716,28.025,1123.504,0.13997,33.0
fa2,docvqa,1792,64,docvqa_57858,157.577,111.087,34.67,223.604,675.785,226.292,29.382,902.077,0.174682,24.0
fa2,docvqa,1792,64,docvqa_45694,169.814,116.281,34.785,236.425,733.917,239.896,31.909,973.813,0.174381,24.0
fa2,docvqa,1792,64,docvqa_55464,155.392,111.713,34.865,228.929,1235.538,231.392,31.68,1466.93,0.10593,40.0
fa2,docvqa,1792,64,docvqa_57880,157.307,111.383,34.801,223.723,659.159,226.254,29.962,885.413,0.177665,23.0
fa2,docvqa,1792,64,docvqa_57881,158.236,112.75,34.959,225.121,490.919,227.409,28.878,718.328,0.220284,18.0
fa2,docvqa,1792,64,docvqa_57882,169.034,113.556,34.827,235.506,1099.43,238.906,31.412,1338.336,0.126301,36.0
fa2,docvqa,1792,64,docvqa_57883,157.482,111.443,34.841,223.775,1013.988,226.377,28.971,1240.365,0.126964,36.0
fa2,docvqa,1792,64,docvqa_57884,156.687,111.579,34.855,227.031,431.362,229.409,30.812,660.771,0.237128,15.0
fa2,docvqa,1792,64,docvqa_57885,155.774,111.973,34.781,222.091,458.763,224.285,35.289,683.048,0.228057,14.0
fa2,docvqa,1792,64,docvqa_57886,161.687,115.219,34.819,227.843,464.554,230.265,25.809,694.819,0.232704,19.0
fa2,docvqa,1792,64,docvqa_57887,160.29,113.552,34.835,226.859,541.224,230.338,30.068,771.562,0.207748,19.0
fa2,docvqa,1792,64,docvqa_57888,158.193,111.512,34.826,224.589,723.947,227.047,31.476,950.994,0.166345,24.0
fa2,docvqa,1792,64,docvqa_57889,157.588,111.584,34.857,223.849,432.419,226.443,33.263,658.861,0.239183,14.0
fa2,docvqa,1792,64,docvqa_57890,158.208,111.308,34.81,224.524,597.127,226.711,35.125,823.838,0.192037,18.0
fa2,docvqa,1792,64,docvqa_57891,156.418,111.364,34.818,222.899,724.175,225.339,30.174,949.515,0.164734,25.0
fa2,docvqa,1792,64,docvqa_553,157.697,112.481,34.835,224.618,473.341,227.256,36.411,700.597,0.225089,14.0
