benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_e2e_ms,fa2_ttft_ms,fa2_tpot_ms,guide_ve_ms,guide_e2e_ms,guide_ttft_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_38,approximated,358.471,1258.053,420.82,22.032,0.284941,155.661,1055.243,218.01,22.032,156.06,1055.642,218.409,22.032
chartqa,1792,1024,chartqa_val_39,approximated,367.315,2287.832,429.447,22.124,0.160552,158.806,2079.323,220.938,22.124,156.006,2076.523,218.138,22.124
chartqa,1792,1024,chartqa_val_40,approximated,353.352,1152.825,415.923,21.054,0.30651,154.576,954.049,217.147,21.054,155.946,955.419,218.517,21.054
chartqa,1792,1024,chartqa_val_41,approximated,353.016,946.595,414.967,21.265,0.372932,154.793,748.372,216.744,21.265,156.014,749.593,217.965,21.265
chartqa,1792,1024,chartqa_val_42,approximated,487.831,721.348,549.801,21.443,0.676278,154.731,388.248,216.701,21.443,156.335,389.852,218.305,21.443
chartqa,1792,1024,chartqa_val_43,approximated,355.036,1812.875,417.319,21.806,0.195841,156.562,1614.401,218.845,21.806,156.132,1613.971,218.415,21.806
chartqa,1792,1024,chartqa_val_44,approximated,357.041,693.477,418.986,21.115,0.514857,156.16,492.596,218.105,21.115,156.349,492.785,218.294,21.115
chartqa,1792,1024,chartqa_val_45,approximated,377.875,3287.915,440.054,21.739,0.114928,154.62,3064.66,216.799,21.739,156.117,3066.157,218.296,21.739
chartqa,1792,1024,chartqa_val_46,approximated,353.975,1077.204,416.325,21.319,0.328605,157.013,880.242,219.363,21.319,155.992,879.221,218.342,21.319
chartqa,1792,1024,chartqa_val_47,approximated,359.624,5450.919,421.473,20.783,0.065975,155.131,5246.426,216.98,20.783,156.638,5247.933,218.487,20.783
chartqa,1792,1024,chartqa_val_48,approximated,354.528,2872.94,416.898,22.328,0.123402,158.305,2676.717,220.675,22.328,156.097,2674.509,218.467,22.328
chartqa,1792,1024,chartqa_val_49,approximated,364.592,1775.757,427.386,22.104,0.205317,155.799,1566.964,218.593,22.104,156.209,1567.374,219.003,22.104
chartqa,1792,1024,chartqa_val_50,approximated,362.321,1369.081,424.479,21.468,0.264645,158.482,1165.242,220.64,21.468,155.959,1162.719,218.117,21.468
chartqa,1792,1024,chartqa_val_51,approximated,356.119,4764.875,418.073,21.519,0.074738,162.44,4571.196,224.394,21.519,155.839,4564.595,217.793,21.519
chartqa,1792,1024,chartqa_val_52,approximated,370.801,619.826,433.756,23.259,0.598235,155.032,404.057,217.987,23.259,155.903,404.928,218.858,23.259
chartqa,1792,1024,chartqa_val_53,approximated,362.195,1636.2,424.308,22.034,0.221363,157.643,1431.648,219.756,22.034,155.97,1429.975,218.083,22.034
chartqa,1792,1024,chartqa_val_54,approximated,401.123,1592.478,463.925,22.128,0.251886,154.885,1346.24,217.687,22.128,156.036,1347.391,218.838,22.128
chartqa,1792,1024,chartqa_val_55,approximated,354.927,4980.309,417.291,21.028,0.071266,159.485,4784.867,221.849,21.028,155.912,4781.294,218.276,21.028
chartqa,1792,1024,chartqa_val_56,approximated,358.991,1449.314,421.224,20.981,0.247697,156.26,1246.583,218.493,20.981,156.143,1246.466,218.376,20.981
chartqa,1792,1024,chartqa_val_57,approximated,352.787,841.379,414.991,21.319,0.419296,155.217,643.809,217.421,21.319,156.18,644.772,218.384,21.319
chartqa,1792,1024,chartqa_val_58,approximated,350.975,1012.272,412.804,21.41,0.34672,154.918,816.215,216.747,21.41,156.035,817.332,217.864,21.41
chartqa,1792,1024,chartqa_val_59,approximated,352.023,5858.043,413.964,21.183,0.060092,156.483,5662.503,218.424,21.183,156.037,5662.057,217.978,21.183
chartqa,1792,1024,chartqa_val_60,approximated,358.317,1022.283,420.209,21.503,0.350506,154.83,818.796,216.722,21.503,156.366,820.332,218.258,21.503
chartqa,1792,1024,chartqa_val_61,approximated,350.455,1890.909,413.424,21.413,0.185337,159.019,1699.473,221.988,21.413,156.079,1696.533,219.048,21.413
chartqa,1792,1024,chartqa_val_62,approximated,350.334,873.672,412.184,20.977,0.400991,154.672,678.01,216.522,20.977,156.147,679.485,217.997,20.977
chartqa,1792,1024,chartqa_val_63,approximated,359.054,1105.282,420.917,21.386,0.324853,154.889,901.117,216.752,21.386,155.971,902.199,217.834,21.386
chartqa,1792,1024,chartqa_val_64,approximated,359.572,743.67,421.874,21.453,0.48351,158.482,542.58,220.784,21.453,155.894,539.992,218.196,21.453
chartqa,1792,1024,chartqa_val_65,approximated,365.266,3486.305,428.01,22.654,0.104772,154.907,3275.946,217.651,22.654,155.97,3277.009,218.714,22.654
chartqa,1792,1024,chartqa_val_66,approximated,372.172,1090.564,434.348,22.628,0.341266,154.917,873.309,217.093,22.628,156.69,875.082,218.866,22.628
