benchmark,resolution,sample_id,fa2_ve_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,fa2_f_vision,fa2_prefill_ms,fa2_decode_ms,guide_ve_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms,guide_f_vision,guide_prefill_ms,guide_decode_ms,ve_speedup,ttft_speedup,e2e_speedup
chartqa,1344,chartqa_val_32,85.032,129.979,1540.854,31.353,0.055185,127.665,1410.874,88.133,136.332,1478.38,29.823,0.059614,133.879,1342.048,0.9648,0.9534,1.0423
chartqa,1344,chartqa_val_320,85.017,125.444,803.134,32.271,0.105857,123.352,677.69,86.982,127.64,792.297,31.65,0.109784,125.376,664.658,0.9774,0.9828,1.0137
chartqa,1344,chartqa_val_321,85.427,127.108,732.209,31.847,0.11667,124.714,605.101,86.84,127.468,2010.271,29.886,0.043198,125.25,1882.803,0.9837,0.9972,0.3642
chartqa,1344,chartqa_val_322,91.336,146.324,1053.325,34.885,0.086712,143.278,907.001,87.393,128.972,912.019,30.117,0.095823,125.916,783.047,1.0451,1.1345,1.1549
chartqa,1344,chartqa_val_323,86.062,127.236,1181.434,31.945,0.072845,124.836,1054.198,86.899,127.616,1108.877,29.735,0.078366,125.442,981.26,0.9904,0.997,1.0654
chartqa,1344,chartqa_val_324,87.212,135.358,2234.145,33.314,0.039036,133.002,2098.787,87.017,127.581,1961.784,30.57,0.044356,125.407,1834.202,1.0022,1.061,1.1388
chartqa,1344,chartqa_val_325,85.37,126.575,2034.993,30.292,0.041951,124.065,1908.418,86.852,127.492,2021.308,30.061,0.042968,125.271,1893.816,0.9829,0.9928,1.0068
chartqa,1344,chartqa_val_326,85.355,126.128,1401.961,31.118,0.060882,123.858,1275.832,87.706,130.773,1631.567,30.628,0.053756,128.568,1500.794,0.9732,0.9645,0.8593
chartqa,1344,chartqa_val_327,85.176,125.912,1953.761,29.013,0.043596,123.547,1827.849,88.292,131.57,2144.034,31.944,0.04118,128.088,2012.464,0.9647,0.957,0.9113
chartqa,1344,chartqa_val_328,87.212,139.827,2068.813,30.619,0.042155,137.469,1928.986,87.197,128.288,2208.452,33.018,0.039483,125.92,2080.164,1.0002,1.0899,0.9368
chartqa,1344,chartqa_val_329,85.539,128.336,2044.707,30.419,0.041834,126.026,1916.371,87.356,136.759,2152.39,31.994,0.040586,132.962,2015.631,0.9792,0.9384,0.95
chartqa,1344,chartqa_val_33,85.085,125.626,1231.979,30.732,0.069064,123.462,1106.353,86.957,127.813,1196.785,29.694,0.072659,125.345,1068.971,0.9785,0.9829,1.0294
chartqa,1344,chartqa_val_330,85.482,126.028,1045.281,30.642,0.081779,123.835,919.253,87.065,128.015,1061.023,31.1,0.082057,125.63,933.008,0.9818,0.9845,0.9852
chartqa,1344,chartqa_val_331,85.754,127.062,1232.035,32.499,0.069603,124.478,1104.972,86.876,127.556,1302.189,31.747,0.066715,125.257,1174.634,0.9871,0.9961,0.9461
chartqa,1344,chartqa_val_332,86.384,137.039,1414.961,34.538,0.06105,134.68,1277.922,86.986,134.305,1374.702,33.524,0.063277,132.125,1240.397,0.9931,1.0204,1.0293
chartqa,1344,chartqa_val_333,85.347,126.338,2145.73,32.054,0.039775,124.005,2019.392,86.805,127.363,2162.899,32.31,0.040134,125.188,2035.536,0.9832,0.992,0.9921
chartqa,1344,chartqa_val_334,85.276,126.138,2127.841,31.773,0.040076,123.889,2001.702,86.935,127.536,2151.683,32.129,0.040403,125.313,2024.148,0.9809,0.989,0.9889
chartqa,1344,chartqa_val_335,87.477,130.336,2139.568,31.893,0.040885,127.322,2009.231,87.025,128.228,2032.089,30.22,0.042826,125.555,1903.861,1.0052,1.0164,1.0529
chartqa,1344,chartqa_val_336,85.389,126.302,1022.615,33.197,0.0835,124.019,896.313,86.905,127.504,999.329,32.29,0.086964,125.296,871.825,0.9826,0.9906,1.0233
chartqa,1344,chartqa_val_337,86.141,128.06,2113.131,31.509,0.040765,124.902,1985.072,87.588,129.95,2047.381,30.435,0.042781,126.194,1917.431,0.9835,0.9855,1.0321
chartqa,1344,chartqa_val_338,85.143,125.727,1281.118,31.227,0.06646,123.513,1155.391,87.122,127.997,1273.536,30.961,0.068409,125.692,1145.54,0.9773,0.9823,1.006
chartqa,1344,chartqa_val_339,86.596,127.898,2228.059,33.336,0.038866,125.625,2100.161,86.87,128.153,1505.756,31.309,0.057692,125.99,1377.602,0.9968,0.998,1.4797
chartqa,1344,chartqa_val_34,85.306,129.851,690.576,35.045,0.123529,126.897,560.724,86.922,127.687,600.581,29.556,0.14473,125.457,472.894,0.9814,1.0169,1.1498
chartqa,1344,chartqa_val_340,86.316,127.611,582.233,34.971,0.14825,125.342,454.623,86.918,132.684,503.691,28.539,0.172561,130.402,371.008,0.9931,0.9618,1.1559
chartqa,1344,chartqa_val_341,86.441,127.457,2204.853,32.975,0.039205,125.153,2077.396,87.511,129.427,2006.58,29.796,0.043612,126.142,1877.153,0.9878,0.9848,1.0988
chartqa,1344,chartqa_val_342,85.253,126.23,689.496,31.293,0.123645,123.732,563.267,86.963,129.773,715.681,32.55,0.121511,127.226,585.909,0.9803,0.9727,0.9634
chartqa,1344,chartqa_val_343,85.059,125.491,1932.571,28.684,0.044013,123.334,1807.08,86.858,127.55,2078.195,30.963,0.041795,125.236,1950.645,0.9793,0.9839,0.9299
chartqa,1344,chartqa_val_344,85.474,125.856,1875.25,29.157,0.04558,123.715,1749.394,87.04,138.154,1993.71,31.45,0.043657,135.841,1855.557,0.982,0.911,0.9406
chartqa,1344,chartqa_val_345,88.1,129.599,2016.99,29.959,0.043679,126.445,1887.391,87.139,135.325,2055.61,30.481,0.042391,131.67,1920.286,1.011,0.9577,0.9812
chartqa,1344,chartqa_val_346,85.409,131.803,1374.471,31.067,0.06214,129.382,1242.668,93.109,154.623,1505.062,33.761,0.061864,151.891,1350.439,0.9173,0.8524,0.9132
chartqa,1344,chartqa_val_347,85.261,125.978,1989.371,29.578,0.042858,123.68,1863.393,86.989,136.825,2179.411,32.422,0.039914,134.121,2042.586,0.9801,0.9207,0.9128
