benchmark,resolution,max_new_tokens,sample_id,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,ve_speedup_measured,e2e_speedup_measured,ttft_speedup_measured,tpot_speedup_measured,e2e_speedup_amdahl,tpot_speedup,method
chartqa,1792,1024,chartqa_val_180,384.794,873.357,447.653,25.041,0.440591,0.9924,,,,0.9966,1.0,amdahl
chartqa,1792,1024,chartqa_val_181,365.576,1882.681,428.54,22.371,0.194178,0.9955,,,,0.9991,1.0,amdahl
chartqa,1792,1024,chartqa_val_182,367.628,7378.875,814.692,22.48,0.049822,1.0115,,,,1.0006,1.0,amdahl
chartqa,1792,1024,chartqa_val_183,371.239,2531.311,434.546,24.381,0.146659,0.99,,,,0.9985,1.0,amdahl
chartqa,1792,1024,chartqa_val_184,372.584,876.449,435.057,23.231,0.425107,0.9923,,,,0.9967,1.0,amdahl
chartqa,1792,1024,chartqa_val_185,382.197,480.706,444.581,36.125,0.795075,1.0023,,,,1.0018,1.0,amdahl
chartqa,1792,1024,chartqa_val_186,377.781,1165.511,439.939,23.406,0.324134,1.0044,,,,1.0014,1.0,amdahl
chartqa,1792,1024,chartqa_val_187,376.805,1579.757,438.813,23.285,0.238521,0.9904,,,,0.9977,1.0,amdahl
chartqa,1792,1024,chartqa_val_188,373.865,1175.197,435.927,23.102,0.31813,0.994,,,,0.9981,1.0,amdahl
chartqa,1792,1024,chartqa_val_189,369.686,1698.153,432.072,22.609,0.217699,0.9997,,,,0.9999,1.0,amdahl
chartqa,1792,1024,chartqa_val_190,365.871,1621.433,428.42,22.51,0.225647,0.9984,,,,0.9996,1.0,amdahl
chartqa,1792,1024,chartqa_val_191,350.259,782.278,413.047,21.719,0.447742,1.0071,,,,1.0032,1.0,amdahl
chartqa,1792,1024,chartqa_val_192,498.698,3435.137,560.721,23.756,0.145175,0.9943,,,,0.9992,1.0,amdahl
chartqa,1792,1024,chartqa_val_193,359.187,834.136,789.96,22.088,0.43061,1.0275,,,,1.0117,1.0,amdahl
chartqa,1792,1024,chartqa_val_194,353.277,1029.403,415.757,21.16,0.343186,0.9891,,,,0.9962,1.0,amdahl
chartqa,1792,1024,chartqa_val_195,355.198,461.547,417.853,21.847,0.769581,0.9966,,,,0.9974,1.0,amdahl
chartqa,1792,1024,chartqa_val_196,359.14,809.968,421.639,21.574,0.4434,1.1568,,,,1.0639,1.0,amdahl
chartqa,1792,1024,chartqa_val_197,359.598,6322.944,421.894,22.101,0.056872,0.9924,,,,0.9996,1.0,amdahl
chartqa,1792,1024,chartqa_val_198,357.539,770.14,420.05,21.881,0.464251,0.9994,,,,0.9997,1.0,amdahl
chartqa,1792,1024,chartqa_val_199,357.024,1600.071,419.145,21.471,0.22313,1.0106,,,,1.0023,1.0,amdahl
chartqa,1792,1024,chartqa_val_200,356.023,2290.001,417.933,21.768,0.155469,1.0279,,,,1.0042,1.0,amdahl
chartqa,1792,1024,chartqa_val_201,369.228,1179.989,431.55,22.013,0.312908,0.9991,,,,0.9997,1.0,amdahl
chartqa,1792,1024,chartqa_val_202,364.676,606.403,427.338,22.383,0.601376,0.9844,,,,0.9905,1.0,amdahl
chartqa,1792,1024,chartqa_val_203,363.729,4388.404,426.046,22.136,0.082884,0.9984,,,,0.9999,1.0,amdahl
