benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_prefill_ms,sdpa_ttft_ms,sdpa_decode_ms,sdpa_e2e_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_prefill_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,guide_ve_ms,guide_prefill_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_24,approximated,396.876,456.974,459.449,561.942,1021.391,22.478,0.388565,155.296,221.814,224.643,786.585,22.478,156.088,222.269,224.653,786.595,22.478
chartqa,1792,1024,chartqa_val_25,approximated,384.871,444.713,447.165,757.46,1204.625,21.041,0.319494,158.775,225.485,227.667,985.127,21.041,156.192,222.542,224.833,982.293,21.041
chartqa,1792,1024,chartqa_val_26,approximated,394.51,454.372,457.108,755.239,1212.347,23.601,0.32541,157.455,224.002,226.432,981.671,23.601,156.239,234.731,237.474,992.713,23.601
chartqa,1792,1024,chartqa_val_27,approximated,352.513,412.38,414.756,4070.208,4484.964,21.65,0.078599,157.233,229.612,231.94,4302.148,21.65,155.906,221.855,224.206,4294.414,21.65
chartqa,1792,1024,chartqa_val_28,approximated,351.459,824.778,827.169,574.829,1401.998,21.29,0.250684,155.299,223.164,225.459,800.288,21.29,156.038,223.875,226.445,801.274,21.29
chartqa,1792,1024,chartqa_val_29,approximated,353.93,413.731,416.006,1409.992,1825.998,22.381,0.193828,154.646,220.948,223.204,1633.196,22.381,156.151,222.604,224.908,1634.9,22.381
chartqa,1792,1024,chartqa_val_30,approximated,359.513,419.31,421.617,942.774,1364.391,22.447,0.263497,156.281,222.981,225.5,1168.274,22.447,156.138,222.396,225.022,1167.796,22.447
chartqa,1792,1024,chartqa_val_31,approximated,352.789,412.404,414.86,973.466,1388.326,23.178,0.254111,157.539,224.238,226.754,1200.22,23.178,156.036,222.243,224.782,1198.248,23.178
chartqa,1792,1024,chartqa_val_32,approximated,363.616,836.806,839.266,1197.161,2036.427,41.281,0.178556,155.081,223.424,225.753,1422.914,41.281,156.065,223.906,226.304,1423.465,41.281
chartqa,1792,1024,chartqa_val_33,approximated,398.979,458.79,461.186,875.161,1336.347,23.031,0.29856,157.263,223.58,226.049,1101.21,23.031,156.173,222.735,224.993,1100.154,23.031
chartqa,1792,1024,chartqa_val_34,approximated,399.042,458.708,460.994,342.144,803.138,21.384,0.496853,154.995,221.318,223.635,565.779,21.384,156.045,222.205,224.524,566.668,21.384
